,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
0,3,0,1,0,2,1,0
1,1,1,2,3,0,3,0
2,3,1,1,1,2,2,1
3,1,1,2,3,2,3,0
4,3,0,2,1,2,1,1
5,3,0,1,1,1,1,1
6,1,0,3,3,2,1,1
7,3,0,0,2,2,4,0
8,3,1,1,1,2,3,0
9,2,1,0,2,0,3,0
10,3,1,0,2,2,2,0
11,1,1,3,2,2,2,1
12,3,0,1,1,2,1,1
13,3,0,2,3,2,1,0
14,3,1,0,0,2,2,1
15,2,1,3,2,2,3,1
16,3,0,0,2,1,4,0
17,2,0,1,1,2,1,1
18,3,1,1,2,2,3,0
19,3,1,1,0,0,3,1
20,2,0,2,2,2,1,1
21,2,0,2,1,2,1,1
22,3,1,0,1,1,2,1
23,1,0,1,3,2,1,1
24,3,1,0,2,2,2,0
25,3,1,2,3,2,3,0
26,3,0,1,0,0,1,1
27,1,0,1,3,2,1,0
28,3,1,1,0,1,2,1
29,3,0,1,0,2,1,1
30,1,0,2,2,0,5,1
31,1,1,1,3,0,3,0
32,3,1,1,0,1,2,1
33,2,0,66,1,2,1,1
34,1,0,1,3,0,1,0
35,1,0,2,3,2,1,0
36,3,0,1,0,0,1,1
37,3,0,1,1,2,1,1
38,3,1,1,2,2,2,0
39,3,1,0,1,0,2,0
40,3,1,2,1,2,3,0
41,2,1,1,2,2,3,0
42,3,0,1,0,0,1,1
43,2,1,0,3,0,2,0
44,3,1,1,0,1,2,1
45,3,0,1,1,2,1,1
46,3,0,1,2,1,1,0
47,3,1,1,0,1,2,1
48,3,0,1,2,0,1,0
49,3,1,1,2,2,3,0
50,3,0,0,3,2,4,0
51,3,0,1,0,2,1,1
52,1,1,3,3,0,3,0
53,2,1,1,2,2,3,0
54,1,0,65,3,0,1,0
55,1,0,1,3,2,1,1
56,2,1,1,1,2,2,1
57,3,0,1,0,0,1,1
58,2,1,0,2,2,2,0
59,3,0,0,3,2,4,0
60,3,0,1,0,0,1,1
62,1,0,2,3,2,1,0
63,3,0,0,2,2,4,0
64,1,0,1,2,0,1,1
65,3,0,1,2,0,4,0
66,2,1,1,1,2,3,1
67,3,0,1,1,2,1,1
68,3,1,1,1,2,2,0
69,3,0,1,1,2,1,0
70,2,0,1,1,2,1,1
71,3,1,0,3,2,2,0
72,2,0,1,3,2,1,1
73,3,0,1,2,0,1,0
